priority_rank,sku_id,description,category,subcategory,supplier,week_start,week_end,weekly_forecast_demand,forecast_weeks_available,lead_time_days,lead_time_weeks,ending_on_hand_units,ending_on_order_units,inventory_position_units,average_reorder_point,demand_rolling_std_13,safety_stock_units,lead_time_forecast_units,lead_time_need_units,projected_lead_time_balance_units,stockout_gap_units,stockout_risk_score,stockout_risk_level,forecast_horizon_units,overstock_threshold_units,excess_inventory_units,overstock_risk_score,overstock_risk_level,inventory_coverage_weeks,minimum_order_quantity,recommended_order_units,unit_cost,list_price,recommended_order_cost,potential_lost_revenue,excess_inventory_value,overall_risk_score,primary_risk,value_at_stake,recommended_action
111,SKU10134,FOUNDATION LIQUID,Beauty,Beauty,SUP117,2024-12-23,2024-12-29,11.774483975961452,8,8,2,117,0,117,86.0,35.22928560306843,82.20586026274809,23.548967951922904,105.754828214671,11.245171785329006,0.0,0.0,Low,94.19587180769162,176.40173207043972,0.0,0.0,Medium,9.93674119722485,100,100.0,7.04,13.23,704.0,0.0,0.0,0.0,Stockout,0.0,Reduce or defer replenishment and monitor weekly demand
112,SKU10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,Home Decor,SUP107,2024-12-23,2024-12-29,178.01024708880232,8,7,1,101,290,391,215.0,83.27410715868962,137.40227681183785,178.01024708880232,315.41252390064017,75.58747609935983,0.0,0.0,Low,1424.0819767104185,1561.4842535222565,0.0,0.0,Low,2.1965027653994853,10,110.0,6.59,10.3,724.9,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
113,SKU10002,CREAM CUPID HEARTS COAT HANGER,Home Decor,Home Decor,SUP121,2024-12-23,2024-12-29,235.3822133891529,8,7,1,233,268,501,261.0,118.3447267898928,195.2687992033231,235.3822133891529,430.65101259247604,70.34898740752396,0.0,0.0,Low,1883.0577071132232,2078.3265063165463,0.0,0.0,Low,2.128453092467553,10,170.0,4.47,9.34,759.9,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
114,SKU10003,GLASS STAR FROSTED T-LIGHT HOLDER,Home Decor,Home Decor,SUP127,2024-12-23,2024-12-29,167.65561556638798,8,6,1,122,209,331,163.0,71.93462131400811,118.69212516811338,167.65561556638798,286.3477407345014,44.65225926549863,0.0,0.0,Low,1341.2449245311038,1459.9370496992171,0.0,0.0,Low,1.9742851969603799,10,130.0,14.97,24.29,1946.1000000000001,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
115,SKU10004,WALL MIRROR ROUND,Home Decor,Home Decor,SUP111,2024-12-23,2024-12-29,15.449970771851156,8,9,2,101,0,101,68.0,4.253203920545426,9.924648802156705,30.89994154370231,40.824590345859015,60.175409654140985,0.0,0.0,Low,123.59976617480925,133.52441497696594,0.0,0.0,Low,6.537229195540968,10,0.0,9.16,16.01,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
116,SKU10006,CERAMIC VASE BLUE,Home Decor,Home Decor,SUP111,2024-12-23,2024-12-29,94.2535838362302,8,7,1,118,130,248,124.0,55.889543079551295,92.21774608125963,94.2535838362302,186.47132991748984,61.52867008251016,0.0,0.0,Low,754.0286706898416,846.2464167711013,0.0,0.0,Low,2.631199683938926,50,50.0,5.47,10.11,273.5,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
117,SKU10015,PHOTO FRAME SILVER,Home Decor,Home Decor,SUP114,2024-12-23,2024-12-29,128.74525291317212,8,6,1,5,302,307,140.0,70.1722240323124,115.78416965331546,128.74525291317212,244.5294225664876,62.4705774335124,0.0,0.0,Low,1029.962023305377,1145.7461929586925,0.0,0.0,Low,2.38455393929783,10,70.0,4.83,9.15,338.1,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
118,SKU10018,LAMP SHADE FABRIC,Home Decor,Home Decor,SUP118,2024-12-23,2024-12-29,66.84780202527584,8,7,1,185,0,185,99.0,68.13852782647255,112.4285709136797,66.84780202527584,179.27637293895555,5.7236270610444535,0.0,0.0,Low,534.7824162022067,647.2109871158864,0.0,0.0,Low,2.7674806709433706,10,70.0,6.06,11.45,424.2,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
119,SKU10023,BOOKEND PAIR METAL,Home Decor,Home Decor,SUP125,2024-12-23,2024-12-29,23.717519134598945,8,9,2,70,57,127,74.0,8.025600065431684,18.727355556881214,47.43503826919789,66.1623938260791,60.8376061739209,0.0,0.0,Low,189.74015307679156,208.46750863367276,0.0,0.0,Low,5.354691579640525,50,0.0,15.09,24.34,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
120,SKU10025,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,Kitchenware,SUP106,2024-12-23,2024-12-29,32.2915665934485,8,10,2,110,0,110,102.0,9.642321244096614,22.499897435663417,64.583133186897,87.08303062256041,22.916969377439585,0.0,0.0,Low,258.332532747588,280.8324301832514,0.0,0.0,Low,3.406462169671181,10,10.0,3.64,6.77,36.4,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
121,SKU10035,ELECTRIC KETTLE,Kitchenware,Kitchenware,SUP129,2024-12-23,2024-12-29,18.34784138522582,8,8,2,83,0,83,71.0,5.204780839741948,12.145108227025437,36.69568277045164,48.84079099747708,34.15920900252292,0.0,0.0,Low,146.78273108180656,158.927839308832,0.0,0.0,Low,4.523692910645819,10,0.0,14.36,24.31,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
122,SKU10040,COOKIE JAR GLASS,Kitchenware,Kitchenware,SUP123,2024-12-23,2024-12-29,43.550954553542866,8,10,2,148,0,148,130.0,14.424871683204955,33.659751130302105,87.10190910708573,120.76166023738784,27.238339762612156,0.0,0.0,Low,348.4076364283429,382.067387558645,0.0,0.0,Low,3.3983181658634902,50,50.0,14.65,25.77,732.5,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
123,SKU10041,BREAD BIN METAL,Kitchenware,Kitchenware,SUP119,2024-12-23,2024-12-29,11.956318845924246,8,12,2,79,0,79,69.0,4.361839179250102,10.17814400490661,23.91263769184849,34.0907816967551,44.9092183032449,0.0,0.0,Low,95.65055076739397,105.82869477230058,0.0,0.0,Low,6.607384849637903,20,0.0,7.58,12.41,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
124,SKU10043,WINE GLASSES SET 6,Kitchenware,Kitchenware,SUP119,2024-12-23,2024-12-29,15.603820096355175,8,10,2,114,0,114,86.0,4.875369808458671,11.376443272765842,31.20764019271035,42.58408346547619,71.4159165345238,0.0,0.0,Low,124.8305607708414,136.20700404360724,0.0,0.0,Low,7.305903252923862,100,0.0,14.05,23.85,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
125,SKU10047,PACK OF 72 RETROSPOT CAKE CASES,Stationery,Stationery,SUP102,2024-12-23,2024-12-29,448.0985731885145,8,4,1,186,596,782,275.0,168.1324645659654,277.41856653384286,448.0985731885145,725.5171397223573,56.48286027764266,0.0,0.0,Low,3584.788585508116,3862.2071520419586,0.0,0.0,Low,1.7451517295303094,50,400.0,1.37,2.15,548.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
126,SKU10049,FOUNTAIN PEN BLUE,Stationery,Stationery,SUP104,2024-12-23,2024-12-29,159.56121770425915,8,6,1,0,312,312,140.0,68.53849751071027,113.08852089267194,159.56121770425915,272.6497385969311,39.350261403068885,0.0,0.0,Low,1276.4897416340732,1389.5782625267452,0.0,0.0,Low,1.9553623649217853,10,130.0,2.78,4.28,361.4,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
127,SKU10052,PENCIL CASE CANVAS,Stationery,Stationery,SUP129,2024-12-23,2024-12-29,13.0656240555846,8,6,1,101,0,101,48.0,5.008966319485841,8.264794427151637,13.0656240555846,21.330418482736235,79.66958151726377,0.0,0.0,Low,104.5249924446768,112.78978687182844,0.0,0.0,Low,7.7302086429488135,50,0.0,0.83,1.72,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
128,SKU10056,FOLDER PACK A4,Stationery,Stationery,SUP116,2024-12-23,2024-12-29,214.16097521628538,8,5,1,149,324,473,203.0,114.54939590658743,189.00650324586925,214.16097521628538,403.16747846215463,69.83252153784537,0.0,0.0,Low,1713.287801730283,1902.2943049761523,0.0,0.0,Low,2.208619005037253,100,200.0,1.62,3.09,324.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
129,SKU10058,DIARY HARDCOVER,Stationery,Stationery,SUP118,2024-12-23,2024-12-29,15.88709366747337,8,7,1,106,0,106,72.0,41.68025419480535,68.77241942142882,15.88709366747337,84.65951308890219,21.340486911097813,0.0,0.0,Low,127.09674933978695,195.86916876121578,0.0,0.0,Low,6.67208252299918,20,0.0,2.35,4.13,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
130,SKU10059,HIGHLIGHTERS PACK,Stationery,Stationery,SUP129,2024-12-23,2024-12-29,262.48069153149385,8,7,1,218,326,544,299.0,157.11432225106105,259.23863171425074,262.48069153149385,521.7193232457446,22.28067675425541,0.0,0.0,Low,2099.8455322519508,2359.0841639662017,0.0,0.0,Low,2.0725333997938207,10,250.0,7.32,13.64,1830.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
131,SKU10060,ERASER PACK 10,Stationery,Stationery,SUP127,2024-12-23,2024-12-29,48.2710651971436,8,7,1,130,0,130,74.0,8.70676129842168,14.366156142395772,48.2710651971436,62.63722133953937,67.36277866046063,0.0,0.0,Low,386.1685215771488,400.53467771954456,0.0,0.0,Low,2.6931247418938797,10,0.0,4.87,8.87,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
132,SKU10061,RULER SET METRIC,Stationery,Stationery,SUP116,2024-12-23,2024-12-29,36.52741754081283,8,3,1,117,0,117,32.0,40.4030971140859,66.66511023824174,36.52741754081283,103.19252777905456,13.807472220945442,0.0,0.0,Low,292.2193403265026,358.8844505647444,0.0,0.0,Low,3.203073413806862,100,100.0,4.37,7.74,437.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
133,SKU10062,SCISSORS OFFICE,Stationery,Stationery,SUP105,2024-12-23,2024-12-29,11.977396353681732,8,7,1,67,0,67,40.0,3.252218177939972,5.366159993600954,11.977396353681732,17.343556347282686,49.656443652717314,0.0,0.0,Low,95.81917082945385,101.18533082305481,0.0,0.0,Low,5.59387015521156,50,0.0,9.06,14.14,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
134,SKU10067,LOVE BUILDING BLOCK WORD,Toys,Toys,SUP126,2024-12-23,2024-12-29,16.511703918461997,8,13,2,113,0,113,107.0,5.796771869115051,13.526491102220811,33.023407836923994,46.5498989391448,66.45010106085519,0.0,0.0,Low,132.09363134769598,145.62012244991678,0.0,0.0,Low,6.843630467092673,20,0.0,3.1,6.31,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
135,SKU10072,TOY CAR DIE-CAST,Toys,Toys,SUP118,2024-12-23,2024-12-29,38.64216252976088,8,15,3,89,50,139,137.0,6.986250232255656,19.965891588483498,115.92648758928264,135.89237917776614,3.107620822233855,0.0,0.0,Low,309.13730023808705,329.10319182657054,0.0,0.0,Low,3.5971071725850465,50,50.0,21.92,35.99,1096.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
136,SKU10081,COLORING SET CRAYON,Toys,Toys,SUP125,2024-12-23,2024-12-29,50.15940159600321,8,12,2,0,207,207,143.0,9.428543678502976,22.001057666883934,100.31880319200641,122.31986085889035,84.68013914110965,0.0,0.0,Low,401.27521276802565,423.2762704349096,0.0,0.0,Low,4.126843491220879,20,0.0,13.59,23.13,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
137,SKU10084,FRISBEE BEACH,Toys,Toys,SUP104,2024-12-23,2024-12-29,26.69666797739322,8,14,2,18,151,169,127.0,5.8791243024879485,13.718656583701938,53.39333595478644,67.11199253848838,101.88800746151162,0.0,0.0,Low,213.57334381914575,227.2920004028477,0.0,0.0,Low,6.330378013582425,20,0.0,11.35,22.72,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
138,SKU10086,KNITTED UNION FLAG HOT WATER BOTTLE,Apparel,Apparel,SUP111,2024-12-23,2024-12-29,41.486720146158945,8,23,4,119,167,286,267.0,9.416297927883573,31.07378316201579,165.94688058463578,197.02066374665156,88.97933625334844,0.0,0.0,Low,331.89376116927156,362.96754433128734,0.0,0.0,Low,6.893772247900377,100,0.0,19.65,30.42,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
139,SKU10090,SCARF KNITTED WOOL,Apparel,Apparel,SUP112,2024-12-23,2024-12-29,45.85181419756026,8,23,4,235,0,235,220.0,8.331281798754313,27.493229935889232,183.40725679024104,210.90048672613028,24.099513273869718,0.0,0.0,Low,366.81451358048207,394.3077435163713,0.0,0.0,Low,5.125206147513879,100,100.0,27.48,44.23,2748.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
140,SKU10113,MOUSE OPTICAL USB,Electronics,Electronics,SUP104,2024-12-23,2024-12-29,27.676671144304954,8,16,3,126,0,126,119.0,7.778174593052064,22.229119415757456,83.03001343291487,105.25913284867232,20.740867151327677,0.0,0.0,Low,221.41336915443964,243.6424885701971,0.0,0.0,Low,4.552570623216987,20,20.0,107.66,224.6,2153.2,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
141,SKU10116,FITNESS TRACKER,Electronics,Electronics,SUP111,2024-12-23,2024-12-29,23.664017301156523,8,16,3,117,33,150,125.0,26.08123404347979,74.53713710421339,70.99205190346957,145.52918900768296,4.470810992317041,0.0,0.0,Low,189.31213840925219,263.84927551346556,0.0,0.0,Low,6.338737759149166,20,20.0,48.27,103.42,965.4000000000001,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
142,SKU10121,LIP BALM NATURAL,Beauty,Beauty,SUP105,2024-12-23,2024-12-29,13.387576452824769,8,12,2,105,0,105,80.0,6.437072116723374,15.020601237582405,26.775152905649538,41.795754143231946,63.204245856768054,0.0,0.0,Low,107.10061162259815,122.12121286018055,0.0,0.0,Low,7.843092464868432,20,0.0,4.8,8.64,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
143,SKU10124,CONDITIONER SILK,Beauty,Beauty,SUP114,2024-12-23,2024-12-29,27.339697990126616,8,9,2,130,0,130,88.0,9.060339043862982,21.141869686623693,54.67939598025323,75.82126566687693,54.178734333123074,0.0,0.0,Low,218.71758392101293,239.85945360763662,0.0,0.0,Low,4.754990345794889,10,0.0,22.55,35.02,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
144,SKU10133,LIPSTICK MATTE,Beauty,Beauty,SUP126,2024-12-23,2024-12-29,16.834969709524213,8,9,2,108,0,108,72.0,9.003560549255093,21.009379773366447,33.669939419048426,54.67931919241487,53.32068080758513,0.0,0.0,Low,134.6797576761937,155.68913744956015,0.0,0.0,Low,6.415217957826209,10,0.0,25.88,55.47,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
145,SKU10135,TEA LOOSE LEAF EARL GREY,Food & Bev,Food & Bev,SUP124,2024-12-23,2024-12-29,16.214556047530984,8,2,1,31,0,31,13.0,5.20354908470396,8.585855989761534,16.214556047530984,24.800412037292517,6.199587962707483,0.0,0.0,Low,129.71644838024787,138.3023043700094,0.0,0.0,Low,1.91186239753511,20,20.0,15.53,29.57,310.59999999999997,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
146,SKU10138,OLIVE OIL EXTRA VIRGIN,Food & Bev,Food & Bev,SUP122,2024-12-23,2024-12-29,182.93829194240453,8,5,1,105,256,361,157.0,97.22996794541622,160.42944710993675,182.93829194240453,343.3677390523413,17.63226094765872,0.0,0.0,Low,1463.5063355392363,1623.935782649173,0.0,0.0,Low,1.9733430118263902,10,170.0,19.47,29.99,3309.8999999999996,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
147,SKU10139,CHOCOLATE BOX ASSORTED,Food & Bev,Food & Bev,SUP116,2024-12-23,2024-12-29,15.659561397806073,8,3,1,87,0,87,24.0,23.184599220724976,38.25458871419621,15.659561397806073,53.91415011200228,33.08584988799772,0.0,0.0,Low,125.27649118244858,163.5310798966448,0.0,0.0,Low,5.555711158818843,10,0.0,13.27,22.06,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
148,SKU10143,SAUCE BOTTLE TOMATO,Food & Bev,Food & Bev,SUP121,2024-12-23,2024-12-29,440.648140183639,8,1,1,48,653,701,70.0,154.95508033968076,255.67588256047324,440.648140183639,696.3240227441122,4.675977255887801,0.0,0.0,Low,3525.185121469112,3780.8610040295853,0.0,0.0,Low,1.5908384401846336,100,500.0,12.85,25.11,6425.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
149,SKU10145,NUT MIX ROASTED,Food & Bev,Food & Bev,SUP120,2024-12-23,2024-12-29,22.57014049569593,8,5,1,26,49,75,30.0,6.266516637593079,10.33975245202858,22.57014049569593,32.909892947724515,42.090107052275485,0.0,0.0,Low,180.56112396556745,190.90087641759604,0.0,0.0,Low,3.3229744411339537,20,0.0,7.97,14.92,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
150,SKU10149,HERBAL TEA CHAMOMILE,Food & Bev,Food & Bev,SUP116,2024-12-23,2024-12-29,13.48331857486315,8,3,1,75,0,75,21.0,5.938790345620092,9.799004070273151,13.48331857486315,23.2823226451363,51.717677354863696,0.0,0.0,Low,107.8665485989052,117.66555266917835,0.0,0.0,Low,5.562428832603714,10,0.0,7.18,12.5,0.0,0.0,0.0,0.0,Stockout,0.0,Maintain current plan and monitor weekly
